shipdate,productid,orderid,totalprice,PRODUCTID,PRODUCTGROUPNAME,campaignid,shipyear,freeshippingflag,channel,log_totalprice
2015-12-09 00:00:00,13557,1444330,25.95,13557,OCCASION,2173,2015,N,AD,3.2561716096118976
2011-12-06 00:00:00,11093,1044069,34.95,11093,OCCASION,2173,2011,N,AD,3.5539184686798193
2015-06-23 00:00:00,12851,1325149,0.0,12851,OCCASION,2141,2015,N,PARTNER,-inf
2014-06-19 00:00:00,12139,1118229,25.95,12139,OCCASION,2236,2014,N,WEB,3.2561716096118976
2016-06-22 00:00:00,13924,1584203,0.0,13924,OCCASION,2236,2016,N,WEB,-inf
2012-09-28 00:00:00,11098,1044804,26.95,11098,OCCASION,2141,2012,N,PARTNER,3.2939832973550063
2013-09-26 00:00:00,11097,1110685,33.32,11097,OCCASION,2141,2013,N,PARTNER,3.506157817298642
2010-12-28 00:00:00,11078,1001584,0.0,11078,OCCASION,2190,2010,N,MAIL,-inf
2014-09-30 00:00:00,12174,1149026,20.65,12174,OCCASION,2141,2014,N,PARTNER,3.027715319407042
2014-06-16 00:00:00,11105,1117134,24.95,11105,OCCASION,2236,2014,N,WEB,3.2168738221975275
2015-10-11 00:00:00,13254,1401139,33.95,13254,OCCASION,2005,2015,N,PARTNER,3.5248888540047054
2014-05-22 00:00:00,12137,1109272,54.95,12137,OCCASION,2236,2014,N,WEB,4.006423680849631
2011-09-04 00:00:00,11092,1064391,34.95,11092,OCCASION,2173,2011,N,AD,3.5539184686798193
2013-11-07 00:00:00,11089,1078919,16.66,11089,OCCASION,2141,2013,N,PARTNER,2.8130106367386967
2011-05-23 00:00:00,11088,1037501,17.0,11088,OCCASION,2178,2011,N,INSERT,2.833213344056216
2016-02-24 00:00:00,12139,1499133,0.0,12139,OCCASION,2141,2016,N,PARTNER,-inf
2013-12-09 00:00:00,11105,1103585,18.95,11105,OCCASION,2236,2013,N,WEB,2.9418039315284354
2014-07-18 00:00:00,12139,1122110,46.7,12139,OCCASION,2141,2014,N,PARTNER,3.8437441646748516
2015-06-24 00:00:00,13167,1326196,0.0,13167,OCCASION,2173,2015,N,AD,-inf
2013-01-25 00:00:00,11100,1054390,35.1,11100,OCCASION,2141,2013,N,PARTNER,3.55820113047182
2013-03-21 00:00:00,11105,1086606,8.0,11105,OCCASION,2236,2013,N,WEB,2.0794415416798357
2014-05-07 00:00:00,12139,1102476,25.95,12139,OCCASION,2236,2014,N,WEB,3.2561716096118976
2014-08-15 00:00:00,12139,1140581,23.35,12139,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2016-07-14 00:00:00,13999,1597270,2.5,13999,OCCASION,2141,2016,N,PARTNER,0.9162907318741551
2010-07-08 00:00:00,11070,1009791,7.95,11070,OCCASION,2141,2010,N,PARTNER,2.0731719286662407
2016-06-07 00:00:00,12139,1573289,25.95,12139,OCCASION,2173,2016,N,AD,3.2561716096118976
2013-08-28 00:00:00,11107,1099863,15.95,11107,OCCASION,2236,2013,N,WEB,2.7694588292308535
2011-09-04 00:00:00,11092,1067149,69.9,11092,OCCASION,2141,2011,N,PARTNER,4.247065649239764
2011-09-09 00:00:00,11092,1055937,69.9,11092,OCCASION,2178,2011,N,INSERT,4.247065649239764
2012-11-29 00:00:00,11089,1058722,16.66,11089,OCCASION,2173,2012,N,AD,2.8130106367386967
2014-12-16 00:00:00,12828,1192193,34.95,12828,OTHER,2173,2014,N,AD,3.5539184686798193
2016-06-01 00:00:00,12823,1569200,29.95,12823,OTHER,2236,2016,N,WEB,3.3995293245614584
2010-12-21 00:00:00,10992,1023510,99.99,10992,OTHER,2173,2010,N,AD,4.605070180987758
2012-01-02 00:00:00,11007,1057227,32.0,11007,OTHER,2173,2012,N,AD,3.4657359027997265
2014-12-23 00:00:00,12839,1200295,16.15,12839,OTHER,2141,2014,N,PARTNER,2.7819200496686656
2015-08-03 00:00:00,12824,1355200,29.95,12824,OTHER,2236,2015,N,WEB,3.3995293245614584
2010-11-04 00:00:00,11001,1031412,17.99,11001,OTHER,2141,2010,N,PARTNER,2.8898160479624417
2010-12-30 00:00:00,11002,1025631,75.0,11002,OTHER,2236,2010,N,WEB,4.31748811353631
2014-12-12 00:00:00,12823,1189240,26.95,12823,OTHER,2141,2014,N,PARTNER,3.2939832973550063
2015-12-02 00:00:00,12828,1438369,0.0,12828,OTHER,2141,2015,N,PARTNER,-inf
2015-12-02 00:00:00,12828,1438380,0.0,12828,OTHER,2141,2015,N,PARTNER,-inf
2015-11-15 00:00:00,13646,1425194,15.0,13646,OTHER,2236,2015,N,WEB,2.70805020110221
2014-12-30 00:00:00,12136,1204014,34.95,12136,OTHER,2173,2014,N,AD,3.5539184686798193
2015-11-19 00:00:00,12824,1429209,29.95,12824,OTHER,2236,2015,N,WEB,3.3995293245614584
2013-11-18 00:00:00,12007,1086055,13.5,12007,OTHER,2141,2013,N,PARTNER,2.6026896854443837
2014-12-11 00:00:00,12823,1188169,26.95,12823,OTHER,2141,2014,N,PARTNER,3.2939832973550063
2013-09-03 00:00:00,11001,1105924,17.99,11001,OTHER,2141,2013,N,PARTNER,2.8898160479624417
2014-07-14 00:00:00,12136,1122901,0.0,12136,OTHER,2237,2014,N,BULK,-inf
2015-02-27 00:00:00,12823,1248092,29.95,12823,OTHER,2173,2015,N,AD,3.3995293245614584
2016-04-07 00:00:00,13920,1529185,13.46,13920,OTHER,2141,2016,N,PARTNER,2.599722324216582
